 /*
 /*          2000  particles ejected randomly from planet #            5
 /*      at velocity    4.00000000000000       km/sec
 /*      using random number seed =           -1
 /*
 /*          a, AU                 e              i ,degrees
 /*
  1.1729139    0.7436698    18.34615    
  1.3496103    0.0816482    1.66164    
  1.8966271    0.3767470    72.15568    
  2.0731216    0.6776117    31.81905    
  1.1189484    0.2537864    12.84534    
  1.0343842    0.3334774    7.89910    
  1.8619380    0.3859391    46.99089    
  1.8858695    0.3273674    4.73347    
  1.8595982    0.4522312    26.06622    
  1.2596295    0.8412427    23.25080    
  1.8041672    0.7021009    22.36448    
  2.6349877    0.8695965    5.94918    
  1.4226435    0.3113150    9.31725    
  1.8204539    0.5688920    4.85541    
  1.3471546    0.4606854    2.51547    
  1.7841139    0.5077633    53.22082    
  0.9618705    0.4815243    19.03486    
  1.5188236    0.2968086    20.66484    
  1.3987817    0.2412729    2.86914    
  1.2454474    0.5502063    17.66025    
  1.5284531    0.5793832    2.73120    
  1.8170700    0.4442400    28.86394    
  1.8632112    0.4504178    11.47235    
  1.1645166    0.8282465    28.53988    
  1.9890744    0.4504399    10.91573    
  0.9799147    0.1767364    6.87593    
  0.9780359    0.4280676    2.46416    
  2.3819079    0.5056910    32.09256    
  0.8579344    0.3694724    16.60319    
  1.1141843    0.8020610    2.35319    
  0.9215606    0.5665406    30.14259    
  1.0869204    0.7245669    34.03115    
  1.0141140    0.3225311    30.09643    
  1.5135936    0.6270240    9.20704    
  0.9920573    0.5290115    22.55452    
  2.0020746    0.5290609    2.35201    
  1.6234304    0.5360324    7.18160    
  2.3849762    0.4847826    13.31740    
  2.5774847    0.5082376    18.89575    
  2.0001659    0.4689131    33.06710    
  1.1979253    0.8500315    19.17190    
  1.8352605    0.3484756    10.98303    
  1.6672456    0.3444151    28.25103    
  2.0661709    0.4576126    6.06660    
  1.2334606    0.1544842    16.27836    
  2.6282881    0.5653054    23.41178    
  1.6740372    0.2934742    16.65201    
  1.6598169    0.3435310    20.48870    
  1.9509301    0.3878004    41.04006    
  2.5962615    0.5103558    5.47381    
  1.9679954    0.6064400    2.66264    
  1.9494078    0.3512103    8.16589    
  2.1248067    0.7298627    4.98928    
  1.6614498    0.3522779    17.30625    
  1.9668926    0.5764139    35.59909    
  1.7464833    0.8835879    43.57075    
  2.1804002    0.4173330    11.11162    
  1.0853699    0.1869753    62.09917    
  2.1350201    0.5245479    11.60771    
  1.6495462    0.3286945    13.85966    
  2.1819622    0.6544314    21.02297    
  1.9706852    0.5538302    27.13557    
  1.4229233    0.2897014    55.89077    
  1.9176301    0.5335331    8.78609    
  2.5081629    0.7489991    39.42163    
  1.5078231    0.5887200    4.22423    
  0.9683296    0.6556080    36.26000    
  1.6398780    0.5215336    13.04182    
  2.1335681    0.4114631    8.23038    
  2.6400493    0.5560232    11.08556    
  2.0135163    0.4417567    38.14166    
  1.4433104    0.3979869    3.44560    
  1.4545312    0.4857220    19.57531    
  0.9077237    0.2716202    7.25745    
  1.3910193    0.5617100    13.31809    
  2.6880122    0.5236189    12.32082    
  0.8650826    0.2081955    16.72530    
  2.5184226    0.7207825    3.43820    
  2.8126160    0.7063762    6.66344    
  1.1288641    0.3659489    2.67946    
  2.2515302    0.5525426    4.92674    
  1.4478834    0.6395673    10.93068    
  1.3465236    0.5730351    0.14615    
  0.8782304    0.7391566    13.43439    
  1.1909505    0.4974824    2.02129    
  1.4508312    0.4148231    15.22561    
  1.8785242    0.6541151    7.13490    
  1.3631418    0.2314437    15.95124    
  1.1620349    0.5230903    5.14886    
  1.6793340    0.6405906    41.55691    
  2.2917457    0.4915383    2.97175    
  0.9297584    0.4557259    28.57906    
  1.4810910    0.6806735    8.73336    
  1.9387581    0.4563570    27.08116    
  1.3835207    0.1870541    55.29342    
  1.3962719    0.3934307    13.22973    
  1.1621478    0.2366618    25.00722    
  1.3407313    0.7959197    31.45426    
  1.3011568    0.6190834    41.10970    
  0.9115350    0.7806842    7.77099    
  2.0894341    0.4350861    40.32096    
  2.5220066    0.6762581    5.88085    
  1.2989387    0.5306413    35.97710    
  2.1176951    0.5909492    41.23613    
  1.7821084    0.6137511    9.67412    
  1.5571078    0.4024955    21.65394    
  2.5523241    0.5230640    26.98089    
  2.4999299    0.6458756    28.42169    
  1.2375142    0.4496623    34.69973    
  1.7992443    0.6391433    10.53733    
  0.8914225    0.2138603    50.20779    
  1.4137732    0.5811298    10.09237    
  1.9868193    0.4780846    6.68360    
  2.1001317    0.7416857    10.61426    
  1.7118966    0.4670903    1.92003    
  2.7523915    0.5661986    8.99661    
  1.8364268    0.3419726    15.46907    
  1.7732021    0.8088194    31.01871    
  2.5325271    0.7585271    46.53232    
  1.7031898    0.4513369    4.64401    
  1.8181596    0.3466005    2.72450    
  1.3255256    0.3602223    4.97121    
  1.5412863    0.5896333    12.12323    
  1.8902281    0.4625324    44.18407    
  1.2100610    0.5320833    49.05396    
  1.8337959    0.2962894    23.61959    
  1.8515176    0.7184305    10.08819    
  2.3061925    0.5487903    3.24626    
  1.5110269    0.4649986    14.57269    
  1.8718307    0.4862201    14.42626    
  1.0832768    0.4906916    11.57848    
  1.7043557    0.6893682    8.74311    
  1.8041508    0.5912959    29.71272    
